@RELATION histogram
@ATTRIBUTE o1	REAL
@ATTRIBUTE o2	REAL
@ATTRIBUTE o 	{1,2,3,4,5,6}
@DATA
185,18.111111,2
185,18.555556,2
184,18.444444,2
184,18.222222,2
183,18.111111,2
182,17.777778,2
182,17.555556,2
183,17.777778,2
183,18,2
185,18.444444,2
186,18.444444,2
187,18.111111,2
188,18.555556,2
190,18.444444,2
192,19,2
196,19.555556,2
198,19.777778,2
203,20.111111,2
205,20.333333,2
208,20.666667,2
212,21.666667,2
215,21.666667,2
217,21.888889,2
220,21.888889,2
223,22.333333,2
225,22.222222,2
225,22.444444,2
226,22.555556,2
224,22.333333,2
222,22.111111,2
222,22.111111,2
224,22.333333,2
225,22.555556,2
226,22.555556,2
227,22.777778,2
230,23,2
233,22.888889,2
237,23.111111,2
241,23.777778,2
243,24.111111,2
243,24,2
242,23.888889,2
241,23.666667,2
241,23.777778,2
240,23.666667,2
238,23.555556,2
236,23.222222,2
234,23,2
233,22.888889,2
232,23.111111,2
232,22.777778,2
229,22.555556,2
228,22.333333,2
224,21.888889,2
222,21.444444,2
220,22,2
217,21.666667,2
215,21.888889,2
210,21,2
204,19.888889,2
199,19.333333,2
193,18.777778,2
189,18.555556,2
208,21.222222,6
204,20.555556,6
199,20.222222,6
192,19.222222,6
187,18.888889,6
186,18.444444,6
189,18.888889,6
192,19.111111,6
193,18.777778,6
192,18.222222,6
185,18.666667,2
186,18.555556,2
188,18.555556,2
189,18.555556,2
189,18.555556,2
191,18.777778,2
191,18.777778,2
191,18.666667,2
189,18.666667,2
187,18.444444,2
186,18.222222,2
185,18.333333,2
185,18.555556,2
185,18.666667,2
185,18.555556,2
185,18.333333,2
184,18.111111,2
184,18.111111,2
186,18.222222,2
186,18.444444,2
187,18.555556,2
187,18.444444,2
188,18.444444,2
189,18.777778,2
190,18.777778,2
193,19,2
196,19.222222,2
198,19.666667,2
203,20.111111,2
205,20.555556,2
209,21.222222,2
212,21.444444,2
215,21.444444,2
217,21.555556,2
220,21.555556,2
222,21.666667,2
224,22.111111,2
225,22.222222,2
225,22.333333,2
224,22.111111,2
223,21.888889,2
223,22,2
224,22.111111,2
226,22.555556,2
228,22.777778,2
229,22.777778,2
230,22.777778,2
234,22.888889,2
237,23.222222,2
240,23.666667,2
243,23.888889,2
